province,date,temp_max,temp_min,wind_speed,precipitation,humidity
HO CHI MINH,2019-01-07,35.0,25.0,10.0,0.0,59.0
HO CHI MINH,2020-01-07,33.0,25.0,9.0,0.1,61.0
HO CHI MINH,2021-01-07,33.0,25.0,4.0,0.0,68.0
HO CHI MINH,2009-01-10,28.0,18.0,11.0,0.0,66.0
HO CHI MINH,2010-01-10,33.0,25.0,6.0,1.3,62.0
HO CHI MINH,2011-01-10,32.0,22.0,5.0,0.0,70.0
HO CHI MINH,2012-01-10,30.0,23.0,8.0,0.1,71.0
HO CHI MINH,2013-01-10,32.0,24.0,7.0,8.1,81.0
HO CHI MINH,2014-01-10,32.0,23.0,6.0,0.0,66.0
HO CHI MINH,2015-01-10,33.0,24.0,5.0,0.0,68.0
HO CHI MINH,2016-01-10,34.0,25.0,13.0,0.0,65.0
HO CHI MINH,2017-01-10,33.0,25.0,9.0,0.4,71.0
HO CHI MINH,2018-01-10,33.0,25.0,7.0,3.9,65.0
HO CHI MINH,2019-01-10,33.0,25.0,12.0,0.0,62.0
HO CHI MINH,2020-01-10,34.0,25.0,10.0,0.0,62.0
HO CHI MINH,2021-01-10,32.0,22.0,5.0,0.0,61.0
HO CHI MINH,2009-01-11,28.0,18.0,9.0,0.0,69.0
HO CHI MINH,2010-01-11,35.0,25.0,6.0,0.1,61.0
HO CHI MINH,2011-01-11,32.0,22.0,4.0,0.0,73.0
HO CHI MINH,2012-01-11,28.0,24.0,8.0,0.4,75.0
HO CHI MINH,2013-01-11,33.0,24.0,6.0,2.8,75.0
HO CHI MINH,2014-01-11,33.0,24.0,5.0,0.0,63.0
HO CHI MINH,2015-01-11,33.0,24.0,5.0,0.1,69.0
HO CHI MINH,2016-01-11,33.0,25.0,8.0,0.0,68.0
HO CHI MINH,2017-01-11,31.0,25.0,7.0,3.0,75.0
HO CHI MINH,2018-01-11,35.0,25.0,7.0,0.0,57.0
HO CHI MINH,2019-01-11,33.0,25.0,8.0,0.0,61.0
HO CHI MINH,2020-01-11,34.0,24.0,8.0,0.0,64.0
HO CHI MINH,2021-01-11,33.0,23.0,6.0,0.0,59.0
HO CHI MINH,2009-01-12,29.0,19.0,5.0,0.0,69.0
HO CHI MINH,2010-01-12,34.0,25.0,7.0,0.0,61.0
HO CHI MINH,2011-01-12,32.0,23.0,4.0,0.4,75.0
HO CHI MINH,2012-01-12,32.0,23.0,8.0,3.1,75.0
HO CHI MINH,2013-01-12,33.0,24.0,6.0,0.0,71.0
HO CHI MINH,2014-01-12,33.0,25.0,4.0,1.4,70.0
HO CHI MINH,2015-01-12,34.0,24.0,6.0,2.0,70.0
HO CHI MINH,2016-01-12,34.0,25.0,13.0,0.0,68.0
HO CHI MINH,2017-01-12,32.0,25.0,8.0,0.0,75.0
HO CHI MINH,2018-01-12,33.0,23.0,10.0,0.0,54.0
HO CHI MINH,2019-01-12,34.0,25.0,7.0,1.8,62.0
HO CHI MINH,2020-01-12,33.0,24.0,8.0,0.0,67.0
HO CHI MINH,2021-01-12,31.0,22.0,10.0,0.0,56.0
HO CHI MINH,2009-01-15,30.0,18.0,8.0,0.0,65.0
HO CHI MINH,2010-01-15,33.0,22.0,7.0,0.0,60.0
HO CHI MINH,2011-01-15,33.0,23.0,5.0,0.0,71.0
HO CHI MINH,2012-01-15,32.0,24.0,11.0,2.1,72.0
HO CHI MINH,2013-01-15,33.0,23.0,7.0,0.1,72.0
HO CHI MINH,2014-01-15,34.0,21.0,7.0,0.0,63.0
HO CHI MINH,2015-01-15,35.0,23.0,7.0,0.0,56.0
HO CHI MINH,2016-01-15,34.0,26.0,13.0,0.0,65.0
HO CHI MINH,2017-01-15,31.0,25.0,7.0,34.7,83.0
HO CHI MINH,2018-01-15,33.0,24.0,5.0,0.0,61.0
HO CHI MINH,2019-01-15,34.0,25.0,8.0,0.0,62.0
HO CHI MINH,2020-01-15,34.0,24.0,10.0,0.0,63.0
HO CHI MINH,2021-01-15,32.0,23.0,8.0,0.0,67.0
HO CHI MINH,2009-01-09,32.0,20.0,12.0,0.0,66.0
HO CHI MINH,2010-01-09,33.0,24.0,5.0,0.0,64.0
HO CHI MINH,2011-01-09,32.0,23.0,4.0,0.0,72.0
HO CHI MINH,2012-01-09,32.0,22.0,8.0,0.4,67.0
HO CHI MINH,2013-01-09,33.0,24.0,5.0,4.3,78.0
HO CHI MINH,2014-01-09,31.0,23.0,7.0,0.1,68.0
HO CHI MINH,2015-01-09,34.0,24.0,6.0,0.0,66.0
HO CHI MINH,2016-01-09,34.0,25.0,15.0,0.0,63.0
HO CHI MINH,2017-01-09,34.0,24.0,10.0,0.0,68.0
HO CHI MINH,2018-01-09,33.0,26.0,9.0,0.1,72.0
HO CHI MINH,2019-01-09,34.0,25.0,10.0,0.0,64.0
HO CHI MINH,2020-01-09,36.0,26.0,8.0,0.0,57.0
HO CHI MINH,2021-01-09,33.0,23.0,7.0,0.0,60.0
HO CHI MINH,2009-01-16,31.0,20.0,6.0,0.0,67.0
HO CHI MINH,2010-01-16,33.0,22.0,7.0,0.0,55.0
HO CHI MINH,2011-01-16,31.0,22.0,4.0,0.3,71.0
HO CHI MINH,2012-01-16,33.0,24.0,10.0,4.3,75.0
HO CHI MINH,2013-01-16,33.0,23.0,6.0,0.0,67.0
HO CHI MINH,2014-01-16,32.0,20.0,4.0,0.0,63.0
HO CHI MINH,2015-01-16,34.0,22.0,7.0,0.0,61.0
HO CHI MINH,2016-01-16,34.0,25.0,12.0,1.6,69.0
HO CHI MINH,2017-01-16,30.0,24.0,14.0,4.3,80.0
HO CHI MINH,2018-01-16,31.0,25.0,5.0,1.1,69.0
HO CHI MINH,2019-01-16,34.0,26.0,8.0,0.0,59.0
HO CHI MINH,2020-01-16,35.0,24.0,10.0,0.0,61.0
HO CHI MINH,2021-01-16,33.0,23.0,9.0,0.0,67.0
HO CHI MINH,2009-01-02,28.0,22.0,9.0,1.8,83.0
HO CHI MINH,2010-01-02,32.0,24.0,7.0,0.0,61.0
HO CHI MINH,2011-01-02,33.0,23.0,3.0,0.1,74.0
HO CHI MINH,2012-01-02,31.0,24.0,7.0,1.3,78.0
HO CHI MINH,2013-01-02,34.0,24.0,3.0,0.3,68.0
HO CHI MINH,2014-01-02,31.0,23.0,6.0,0.0,75.0
HO CHI MINH,2015-01-02,29.0,21.0,5.0,0.5,73.0
HO CHI MINH,2016-01-02,34.0,24.0,8.0,0.4,62.0
HO CHI MINH,2017-01-02,32.0,24.0,9.0,4.8,72.0
HO CHI MINH,2018-01-02,33.0,23.0,7.0,0.0,62.0
HO CHI MINH,2019-01-02,26.0,23.0,15.0,21.2,80.0
HO CHI MINH,2020-01-02,35.0,24.0,8.0,0.0,56.0
HO CHI MINH,2021-01-02,29.0,23.0,7.0,0.0,67.0
HO CHI MINH,2009-01-13,29.0,21.0,10.0,0.0,63.0
HO CHI MINH,2010-01-13,33.0,23.0,7.0,0.0,62.0
HO CHI MINH,2011-01-13,32.0,22.0,3.0,1.4,76.0
HO CHI MINH,2012-01-13,32.0,24.0,7.0,2.6,75.0
HO CHI MINH,2013-01-13,33.0,23.0,6.0,0.1,73.0
HO CHI MINH,2014-01-13,33.0,23.0,5.0,0.4,71.0
HO CHI MINH,2015-01-13,32.0,24.0,5.0,3.2,72.0
HO CHI MINH,2016-01-13,34.0,25.0,14.0,0.0,61.0
HO CHI MINH,2017-01-13,33.0,25.0,6.0,0.1,71.0
HO CHI MINH,2018-01-13,32.0,22.0,7.0,0.0,56.0
HO CHI MINH,2019-01-13,34.0,25.0,7.0,8.0,64.0
HO CHI MINH,2020-01-13,35.0,24.0,8.0,0.0,58.0
HO CHI MINH,2021-01-13,30.0,21.0,8.0,0.0,60.0
HO CHI MINH,2009-01-19,36.0,22.0,6.0,0.0,66.0
HO CHI MINH,2010-01-19,24.0,22.0,12.0,23.2,84.0
HO CHI MINH,2011-01-19,33.0,21.0,5.0,0.0,64.0
HO CHI MINH,2012-01-19,32.0,24.0,12.0,4.8,77.0
HO CHI MINH,2013-01-19,33.0,22.0,6.0,0.0,64.0
HO CHI MINH,2014-01-19,31.0,19.0,10.0,0.0,58.0
HO CHI MINH,2015-01-19,31.0,22.0,6.0,0.0,60.0
HO CHI MINH,2016-01-19,34.0,26.0,18.0,0.7,68.0
HO CHI MINH,2017-01-19,33.0,25.0,6.0,1.2,65.0
HO CHI MINH,2018-01-19,31.0,25.0,5.0,4.2,69.0
HO CHI MINH,2019-01-19,35.0,24.0,6.0,0.0,56.0
HO CHI MINH,2020-01-19,34.0,24.0,10.0,0.0,60.0
HO CHI MINH,2021-01-19,31.0,20.0,8.0,0.0,55.0
HO CHI MINH,2009-01-20,36.0,22.0,6.0,0.0,67.0
HO CHI MINH,2010-01-20,25.0,22.0,12.0,8.1,93.0
HO CHI MINH,2011-01-20,34.0,23.0,6.0,0.0,67.0
HO CHI MINH,2012-01-20,33.0,24.0,11.0,0.3,74.0
HO CHI MINH,2013-01-20,34.0,23.0,6.0,0.0,65.0
HO CHI MINH,2014-01-20,30.0,18.0,7.0,0.0,62.0
HO CHI MINH,2015-01-20,32.0,22.0,7.0,0.0,58.0
HO CHI MINH,2016-01-20,35.0,26.0,15.0,0.0,63.0
HO CHI MINH,2017-01-20,32.0,25.0,7.0,6.0,69.0
HO CHI MINH,2018-01-20,34.0,24.0,7.0,0.1,65.0
HO CHI MINH,2019-01-20,35.0,25.0,8.0,0.0,58.0
HO CHI MINH,2020-01-20,35.0,24.0,9.0,0.0,57.0
HO CHI MINH,2021-01-20,33.0,23.0,7.0,0.0,60.0
HO CHI MINH,2009-01-14,30.0,18.0,9.0,0.0,64.0
HO CHI MINH,2010-01-14,32.0,22.0,9.0,0.0,58.0
HO CHI MINH,2011-01-14,32.0,23.0,4.0,0.3,74.0
HO CHI MINH,2012-01-14,33.0,24.0,10.0,2.7,71.0
HO CHI MINH,2013-01-14,32.0,23.0,7.0,0.9,74.0
HO CHI MINH,2014-01-14,31.0,21.0,5.0,0.0,67.0
HO CHI MINH,2015-01-14,35.0,23.0,4.0,0.0,68.0
HO CHI MINH,2016-01-14,35.0,25.0,14.0,0.0,59.0
HO CHI MINH,2017-01-14,33.0,25.0,7.0,12.3,75.0
HO CHI MINH,2018-01-14,32.0,23.0,6.0,0.0,58.0
HO CHI MINH,2019-01-14,35.0,25.0,7.0,0.0,58.0
HO CHI MINH,2020-01-14,34.0,24.0,8.0,0.0,55.0
HO CHI MINH,2021-01-14,31.0,22.0,6.0,0.0,68.0
HO CHI MINH,2009-01-17,35.0,20.0,6.0,0.0,66.0
HO CHI MINH,2010-01-17,33.0,23.0,7.0,0.0,56.0
HO CHI MINH,2011-01-17,32.0,20.0,4.0,0.0,67.0
HO CHI MINH,2012-01-17,32.0,24.0,10.0,9.3,77.0
HO CHI MINH,2013-01-17,32.0,22.0,6.0,0.0,65.0
HO CHI MINH,2014-01-17,34.0,20.0,4.0,0.0,66.0
HO CHI MINH,2015-01-17,31.0,22.0,6.0,0.0,61.0
HO CHI MINH,2016-01-17,34.0,25.0,11.0,0.0,70.0
HO CHI MINH,2017-01-17,33.0,24.0,9.0,0.4,70.0
HO CHI MINH,2018-01-17,30.0,25.0,4.0,0.0,74.0
HO CHI MINH,2019-01-17,33.0,25.0,10.0,0.4,59.0
HO CHI MINH,2020-01-17,35.0,25.0,9.0,0.0,62.0
HO CHI MINH,2021-01-17,33.0,23.0,10.0,0.0,62.0
HO CHI MINH,2009-01-23,29.0,24.0,6.0,0.2,75.0
HO CHI MINH,2010-01-23,33.0,23.0,7.0,0.2,71.0
HO CHI MINH,2011-01-23,33.0,24.0,3.0,11.8,76.0
HO CHI MINH,2012-01-23,32.0,23.0,5.0,2.6,72.0
HO CHI MINH,2013-01-23,33.0,24.0,8.0,1.2,71.0
HO CHI MINH,2014-01-23,28.0,19.0,6.0,0.0,62.0
HO CHI MINH,2015-01-23,33.0,22.0,10.0,0.0,61.0
HO CHI MINH,2016-01-23,35.0,26.0,13.0,0.0,65.0
HO CHI MINH,2017-01-23,32.0,23.0,8.0,0.0,64.0
HO CHI MINH,2018-01-23,32.0,25.0,7.0,1.4,73.0
HO CHI MINH,2019-01-23,34.0,23.0,7.0,0.1,57.0
HO CHI MINH,2020-01-23,35.0,24.0,11.0,0.0,56.0
HO CHI MINH,2021-01-23,25.0,18.0,5.0,31.5,90.0
HO CHI MINH,2009-01-22,34.0,23.0,4.0,0.0,67.0
HO CHI MINH,2010-01-22,32.0,24.0,9.0,1.3,77.0
HO CHI MINH,2011-01-22,34.0,23.0,5.0,6.6,75.0
HO CHI MINH,2012-01-22,33.0,23.0,6.0,3.0,70.0
HO CHI MINH,2013-01-22,34.0,24.0,9.0,8.0,68.0
HO CHI MINH,2014-01-22,31.0,18.0,8.0,0.0,58.0
HO CHI MINH,2015-01-22,32.0,22.0,8.0,0.0,64.0
HO CHI MINH,2016-01-22,35.0,25.0,12.0,0.0,66.0
HO CHI MINH,2017-01-22,32.0,23.0,8.0,0.6,69.0
HO CHI MINH,2018-01-22,33.0,25.0,6.0,14.1,73.0
